Tray_ID,Soil_Moisture_Percent,Germination_Rate_Percent,Dist_C1,Dist_C2,Dist_C3,Assigned_Cluster
T001,39.4,83.2,57.27,48.55,8.83,C3
T002,25.1,23.7,5.91,56.52,65.74,C1
T003,23.5,30.8,2.66,55.05,59.77,C1
T004,46.9,89.5,65.76,48.31,4.30,C3
T005,72.9,51.5,55.87,2.48,42.03,C2
T006,19.7,19.1,9.82,63.46,72.01,C1
T007,13.7,34.0,9.78,63.42,61.72,C1
T008,71.8,56.9,57.33,7.42,37.11,C2
T009,24.5,31.5,3.84,53.87,58.73,C1
T010,48.4,86.6,63.70,45.08,1.34,C3
T011,71.2,51.3,54.24,3.97,41.21,C2
T012,36.6,68.9,42.83,42.72,19.98,C3
T013,51.6,73.1,53.44,32.74,12.77,C3
T014,24.8,36.4,8.25,52.08,54.14,C1
T015,47.8,87.5,64.28,46.16,2.17,C3
T016,36.1,80.2,53.45,49.13,12.93,C3
T017,78.6,50.0,60.57,3.59,46.77,C2
T018,53.1,84.9,64.30,41.03,5.16,C3
T019,46.0,85.7,61.91,45.84,2.00,C3
T020,42.2,89.7,64.31,51.34,7.23,C3
T021,52.7,84.2,63.50,40.66,4.87,C3
T022,78.3,63.2,66.13,13.40,37.56,C2
T023,77.1,44.8,57.50,5.80,49.92,C2
T024,54.9,87.5,67.45,42.37,7.27,C3
T025,51.2,87.4,65.63,44.16,3.84,C3
T026,75.1,56.8,60.17,6.59,39.38,C2
T027,11.9,25.7,10.44,67.71,69.69,C1
T028,76.0,53.8,59.65,3.72,42.20,C2
T029,46.2,82.2,58.78,43.05,3.60,C3
T030,27.2,29.7,5.39,52.03,59.39,C1
T031,24.0,29.3,2.19,55.13,60.95,C1
T032,40.8,89.9,64.08,52.40,8.49,C3
T033,20.7,31.6,3.17,57.41,60.26,C1
T034,74.9,61.0,62.08,10.79,36.30,C2
T035,29.2,30.5,7.52,49.87,57.96,C1
T036,48.9,84.9,62.37,43.42,1.03,C3
T037,55.8,87.7,68.07,42.13,8.19,C3
T038,38.4,91.7,65.15,55.33,11.49,C3
T039,17.6,24.7,5.86,62.83,67.81,C1
T040,43.4,81.5,57.03,44.48,5.96,C3
T041,77.4,40.8,56.80,9.71,53.39,C2
T042,54.7,77.8,59.07,34.26,10.11,C3
T043,79.5,31.9,57.68,18.85,62.05,C2
T044,28.4,13.8,16.23,59.15,74.16,C1
T045,50.1,84.0,62.10,41.98,2.52,C3
T046,73.3,53.4,57.03,3.62,40.77,C2
T047,22.6,18.9,9.80,61.05,71.11,C1
T048,79.2,49.8,61.07,4.21,47.31,C2
T049,46.0,90.1,65.98,49.33,5.15,C3
T050,79.0,43.2,58.91,8.06,52.33,C2
T051,13.5,15.8,15.37,70.48,77.61,C1
T052,14.7,33.8,8.84,62.51,61.34,C1
T053,39.0,85.4,59.25,50.35,8.96,C3
T054,87.7,43.4,67.42,14.40,57.77,C2
T055,65.5,49.3,48.23,9.56,40.08,C2
T056,49.0,79.6,57.69,39.25,5.83,C3
T057,39.8,93.7,67.45,55.96,11.69,C3
T058,66.4,40.7,46.09,12.83,48.29,C2
T059,17.2,24.3,6.42,63.35,68.35,C1
T060,86.2,54.7,69.36,12.05,49.00,C2
T061,58.1,85.9,67.71,39.49,10.15,C3
T062,83.2,32.8,61.43,19.24,63.26,C2
T063,44.6,81.8,57.77,43.85,4.88,C3
T064,25.3,34.6,6.83,52.11,55.57,C1
T065,21.5,22.3,6.38,60.35,68.37,C1
T066,74.7,57.3,60.06,7.10,38.74,C2
T067,25.2,29.7,3.45,53.87,60.11,C1
T068,18.7,40.0,11.77,57.23,53.96,C1
T069,20.9,25.8,3.04,59.36,65.40,C1
T070,17.3,26.5,5.09,62.39,66.35,C1
T071,78.0,53.1,61.18,4.16,44.06,C2
T072,68.4,53.8,52.85,7.52,37.58,C2
T073,72.3,54.9,56.81,5.42,38.97,C2
T074,60.4,48.3,43.21,14.74,39.07,C2
T075,52.3,87.2,65.95,43.41,4.72,C3
T076,42.7,87.8,62.68,49.57,5.81,C3
T077,19.8,21.3,7.67,62.32,69.96,C1
T078,79.4,41.1,58.82,10.11,54.27,C2
T079,75.4,48.1,56.91,2.15,46.25,C2
T080,19.4,36.5,8.22,57.28,56.58,C1
T081,27.6,31.0,6.15,51.16,58.03,C1
T082,20.3,27.3,2.11,59.32,64.29,C1
T083,24.1,17.6,11.29,60.46,71.82,C1
T084,18.0,29.7,4.04,60.59,63.19,C1
T085,68.9,41.0,48.58,11.05,49.03,C2
T086,47.7,90.9,67.36,49.01,5.57,C3
T087,53.9,76.4,57.46,33.64,10.73,C3
T088,48.8,87.9,65.05,45.91,2.70,C3
T089,24.6,23.5,5.83,57.05,66.10,C1
T090,49.9,87.3,64.97,44.79,2.76,C3
T091,73.7,59.2,60.12,9.09,36.68,C2
T092,55.1,81.3,62.22,36.92,8.20,C3
T093,22.2,37.1,8.43,54.42,54.69,C1
T094,53.2,89.2,68.14,44.68,6.51,C3
T095,24.5,27.6,2.81,55.34,62.32,C1
T096,73.6,63.5,62.33,13.36,33.68,C2
T097,50.0,83.1,61.25,41.32,3.03,C3
T098,18.9,22.8,6.60,62.45,68.96,C1
T099,72.3,56.7,57.66,7.03,37.58,C2
T100,23.5,27.7,1.87,56.22,62.61,C1
