Tray_ID,Soil_Moisture_Percent,Germination_Rate_Percent,Dist_C1,Dist_C2,Dist_C3,Assigned_Cluster
T001,39.4,83.2,25.03,41.26,40.73,C1
T002,25.1,23.7,36.63,36.71,78.64,C1
T003,23.5,30.8,29.91,34.55,74.92,C1
T004,46.9,89.5,34.00,45.23,34.44,C1
T005,72.9,51.5,43.73,19.04,29.37,C2
T006,19.7,19.1,42.18,43.78,85.70,C1
T007,13.7,34.0,30.69,42.74,80.70,C1
T008,71.8,56.9,41.91,20.59,24.51,C2
T009,24.5,31.5,29.03,33.35,73.71,C1
T010,48.4,86.6,32.34,42.12,32.28,C3
T011,71.2,51.3,42.11,17.38,30.02,C2
T012,36.6,68.9,11.08,30.16,44.80,C1
T013,51.6,73.1,25.26,28.30,29.23,C1
T014,24.8,36.4,24.17,31.40,70.34,C1
T015,47.8,87.5,32.76,43.11,33.06,C1
T016,36.1,80.2,21.10,39.95,43.90,C1
T017,78.6,50.0,49.62,24.12,30.03,C2
T018,53.1,84.9,33.96,39.95,27.34,C3
T019,46.0,85.7,30.27,41.68,34.47,C1
T020,42.2,89.7,32.11,46.50,39.02,C1
T021,52.7,84.2,33.18,39.27,27.62,C3
T022,78.3,63.2,48.41,29.57,16.89,C3
T023,77.1,44.8,49.49,22.10,35.32,C2
T024,54.9,87.5,37.10,42.50,26.20,C3
T025,51.2,87.4,34.64,42.57,29.74,C3
T026,75.1,56.8,45.21,23.31,23.71,C2
T027,11.9,25.7,38.78,47.22,87.10,C1
T028,76.0,53.8,46.42,22.77,26.50,C2
T029,46.2,82.2,27.48,38.23,33.87,C1
T030,27.2,29.7,30.43,31.73,72.92,C1
T031,24.0,29.3,31.28,34.75,75.54,C1
T032,40.8,89.9,31.79,47.09,40.43,C1
T033,20.7,31.6,29.88,36.82,76.54,C1
T034,74.9,61.0,44.91,25.53,19.67,C3
T035,29.2,30.5,29.51,29.60,70.93,C1
T036,48.9,84.9,31.26,40.36,31.48,C1
T037,55.8,87.7,37.85,42.71,25.40,C3
T038,38.4,91.7,32.79,49.56,43.21,C1
T039,17.6,24.7,37.41,42.55,83.38,C1
T040,43.4,81.5,25.33,38.30,36.63,C1
T041,77.4,40.8,51.14,22.79,39.29,C2
T042,54.7,77.8,30.45,32.80,25.40,C3
T043,79.5,31.9,56.92,27.78,48.10,C2
T044,28.4,13.8,46.23,41.00,83.93,C2
T045,50.1,84.0,31.31,39.31,30.17,C3
T046,73.3,53.4,43.80,20.14,27.43,C2
T047,22.6,18.9,41.76,41.60,83.83,C2
T048,79.2,49.8,50.25,24.67,30.21,C2
T049,46.0,90.1,34.09,45.99,35.47,C1
T050,79.0,43.2,51.80,24.07,36.81,C2
T051,13.5,15.8,47.18,50.74,92.43,C1
T052,14.7,33.8,30.34,41.83,79.99,C1
T053,39.0,85.4,26.95,43.45,41.35,C1
T054,87.7,43.4,60.04,32.74,37.40,C2
T055,65.5,49.3,37.08,11.35,33.95,C2
T056,49.0,79.6,27.30,35.12,31.00,C1
T057,39.8,93.7,35.10,51.02,42.47,C1
T058,66.4,40.7,41.20,12.18,41.59,C2
T059,17.2,24.3,37.93,43.10,83.94,C1
T060,86.2,54.7,56.45,32.67,26.05,C3
T061,58.1,85.9,38.22,41.02,22.68,C3
T062,83.2,32.8,59.75,30.73,47.31,C2
T063,44.6,81.8,26.24,38.24,35.45,C1
T064,25.3,34.6,25.83,31.47,71.09,C1
T065,21.5,22.3,38.65,40.47,82.17,C1
T066,74.7,57.3,44.78,23.22,23.31,C2
T067,25.2,29.7,30.68,33.50,74.39,C1
T068,18.7,40.0,22.97,36.64,73.20,C1
T069,20.9,25.8,35.39,39.13,80.19,C1
T070,17.3,26.5,35.83,41.99,82.42,C1
T071,78.0,53.1,48.49,24.38,26.97,C2
T072,68.4,53.8,38.90,16.03,28.65,C2
T073,72.3,54.9,42.61,19.93,26.25,C2
T074,60.4,48.3,32.57,6.33,37.27,C2
T075,52.3,87.2,35.17,42.29,28.62,C3
T076,42.7,87.8,30.56,44.53,38.11,C1
T077,19.8,21.3,40.02,42.44,84.08,C1
T078,79.4,41.1,52.89,24.71,38.90,C2
T079,75.4,48.1,46.93,20.63,32.23,C2
T080,19.4,36.5,25.78,36.60,74.60,C1
T081,27.6,31.0,29.10,30.77,71.74,C1
T082,20.3,27.3,34.11,38.95,79.63,C1
T083,24.1,17.6,42.81,41.30,83.78,C2
T084,18.0,29.7,32.59,40.04,79.84,C1
T085,68.9,41.0,43.29,14.46,40.55,C2
T086,47.7,90.9,35.61,46.48,34.09,C3
T087,53.9,76.4,28.99,31.42,26.35,C3
T088,48.8,87.9,33.64,43.35,32.18,C3
T089,24.6,23.5,36.90,37.23,79.13,C1
T090,49.9,87.3,33.78,42.61,30.97,C3
T091,73.7,59.2,43.71,23.48,21.73,C3
T092,55.1,81.3,32.92,36.30,24.93,C3
T093,22.2,37.1,24.19,33.74,71.98,C1
T094,53.2,89.2,37.29,44.24,28.34,C3
T095,24.5,27.6,32.86,35.11,76.33,C1
T096,73.6,63.5,43.74,26.23,17.70,C3
T097,50.0,83.1,30.56,38.43,30.16,C3
T098,18.9,22.8,38.82,42.38,83.70,C1
T099,72.3,56.7,42.43,20.88,24.54,C2
T100,23.5,27.7,32.95,35.94,76.99,C1
